Item,Location,Min Quantity,Max Quantity,no of unit per box,threshould
101011000604,Riyadh,"1,155.00 ","1,399.00 ",1,50
101011000605,Jeddah,64.00 ,85.00 ,1,50
101011000605,Riyadh,105.00 ,128.00 ,1,50
101011000608,Jeddah,28.00 ,37.00 ,1,50
101011000608,Riyadh,5.00 ,6.00 ,1,50
101011000610,Jeddah,77.00 ,106.00 ,1,50
101011000610,Riyadh,105.00 ,127.00 ,1,50
101011000611,Jeddah,30.00 ,37.00 ,1,50
101011000611,Riyadh,183.00 ,238.00 ,1,50
101011000613,Jeddah,87.00 ,109.00 ,1,50
101011000613,Riyadh,497.00 ,608.00 ,1,50
101011000616,Jeddah,73.00 ,101.00 ,1,50
101011000616,Riyadh,907.00 ,"1,084.00 ",1,50
101011000617,Jeddah,11.00 ,15.00 ,1,50
101011000618,Jeddah,9.00 ,14.00 ,1,50
101011000618,Riyadh,44.00 ,54.00 ,1,50
101011000624,Jeddah,39.00 ,52.00 ,1,50
101011000624,Riyadh,253.00 ,329.00 ,1,50
101011000625,Jeddah,49.00 ,63.00 ,1,50
101011000625,Riyadh,159.00 ,191.00 ,1,50
101011000627,Jeddah,434.00 ,593.00 ,1,50
101011000627,Riyadh,"1,708.00 ","2,150.00 ",1,50
101011000629,Jeddah,19.00 ,25.00 ,1,50
101011000629,Riyadh,29.00 ,36.00 ,1,50
101011000630,Jeddah,62.00 ,81.00 ,1,50
101011000630,Riyadh,133.00 ,167.00 ,1,50
101011000633,Jeddah,407.00 ,512.00 ,1,50
101011000633,Riyadh,"1,483.00 ","1,892.00 ",1,50
101011000635,Jeddah,11.00 ,14.00 ,1,50
101011000635,Riyadh,29.00 ,37.00 ,1,50
101011000638,Jeddah,64.00 ,83.00 ,1,50
101011000638,Riyadh,367.00 ,444.00 ,1,50
101011000640,Jeddah,16.00 ,20.00 ,1,50
101011000640,Riyadh,127.00 ,153.00 ,1,50
101011000641,Jeddah,3.00 ,3.00 ,1,50
101011000641,Riyadh,10.00 ,13.00 ,1,50
101011000644,Jeddah,1.00 ,1.00 ,1,50
101011000644,Riyadh,1.00 ,2.00 ,1,50
101011000645,Jeddah,21.00 ,26.00 ,1,50
101011000645,Riyadh,117.00 ,151.00 ,1,50
